Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s),source,image
1,The number line expresses which inequality?,x > 3,x ≥ 3,x < 3,x ≤ 3,45,1,blooket:68f84a1540ca0ac2393b4936:q1,q01.png
2,The number line expresses which inequality?,"(-∞, -2]","(-∞, -2)","[-2, ∞)","(-2, ∞)",45,1,blooket:68f84a1540ca0ac2393b4936:q2,q02.png
3,The number line expresses which inequality?,x ≥ 1,x > 1,x ≤ 1,x < 1,45,1,blooket:68f84a1540ca0ac2393b4936:q3,q03.png
4,The number line expresses which inequality?,"(-1, 4)","[-1, 4]","[-1, 4)","(-1, 4]",45,2,blooket:68f84a1540ca0ac2393b4936:q4,q04.png
5,The number line expresses which inequality?,-3 < x < 2,-3 ≤ x ≤ 2,-3 < x ≤ 2,-3 ≤ x < 2,45,3,blooket:68f84a1540ca0ac2393b4936:q5,q05.png
6,The number line expresses which inequality?,"(2, ∞)","[2, ∞)","(-∞, 2)","(-∞, 2]",45,2,blooket:68f84a1540ca0ac2393b4936:q6,q06.png
7,The number line expresses which inequality?,x < -4 or x > 3,x ≤ -4 or x ≥ 3,x < -4 and x > 3,-4 < x < 3,45,1,blooket:68f84a1540ca0ac2393b4936:q7,q07.png
8,The number line expresses which inequality?,"(-∞, 0) ∪ (5, ∞)","(-∞, 0] ∪ [5, ∞)","[0, 5]","(0, 5)",45,2,blooket:68f84a1540ca0ac2393b4936:q8,q08.png
9,which number line expresses x ≤ 4?,fgitcserxhqrjm7zkbep`~`https://media.blooket.com/image/upload/v1761201691/fgitcserxhqrjm7zkbep.png,hsqauxtrb27mpiwqu8pw`~`https://media.blooket.com/image/upload/v1761201691/hsqauxtrb27mpiwqu8pw.png,gtbswwltkxywvcpxewid`~`https://media.blooket.com/image/upload/v1761201691/gtbswwltkxywvcpxewid.png,hgnurz3cyt3mrqaxgej6`~`https://media.blooket.com/image/upload/v1761201691/hgnurz3cyt3mrqaxgej6.png,45,2,blooket:68f84a1540ca0ac2393b4936:q9,
10,"Which number line would represent the interval (3, ∞)?",ba1tq2lsbvier4z1bqzx`~`https://media.blooket.com/image/upload/v1761201754/ba1tq2lsbvier4z1bqzx.png,dxo9vrhon8rt0bgdknok`~`https://media.blooket.com/image/upload/v1761201755/dxo9vrhon8rt0bgdknok.png,ogqxusxylkyarp236pws`~`https://media.blooket.com/image/upload/v1761201754/ogqxusxylkyarp236pws.png,ewweh75i3a21al4xo79h`~`https://media.blooket.com/image/upload/v1761201754/ewweh75i3a21al4xo79h.png,45,1,blooket:68f84a1540ca0ac2393b4936:q10,
11,Look at Figure 9: Which set notation represents this number line?,{x | x > -1},{x | x ≥ -1},{x | x < -1},{x | x ≤ -1},45,2,blooket:68f84a1540ca0ac2393b4936:q11,q11.png
12,Look at Figure 10: Which English description matches this number line?,All real numbers less than 2,All real numbers less than or equal to 2,All real numbers greater than 2,All real numbers greater than or equal to 2,45,1,blooket:68f84a1540ca0ac2393b4936:q12,q12.png
13,Which interval notation represents -2 ≤ x < 5?,"[-2, 5)","(-2, 5]","[-2, 5]","(-2, 5)",45,1,blooket:68f84a1540ca0ac2393b4936:q13,
14,"Which inequality represents the interval (-∞, 7]?",x ≤ 7,x < 7,x ≥ 7,x > 7,45,1,blooket:68f84a1540ca0ac2393b4936:q14,
15,Look at Figure 11: Which inequality represents this number line?,x ≤ -3 or x ≥ 1,x < -3 or x > 1,-3 ≤ x ≤ 1,-3 < x < 1,45,1,blooket:68f84a1540ca0ac2393b4936:q15,q15.png
16,Which number line would show an open circle at -2 and a closed circle at 3 with a line segment between them?,asdzmoenoo4gdtasjio6`~`https://media.blooket.com/image/upload/v1761201981/asdzmoenoo4gdtasjio6.png,otj1yrtuovdgdmfm2ecq`~`https://media.blooket.com/image/upload/v1761201981/otj1yrtuovdgdmfm2ecq.png,vwny8ghpqfdvt7aehkp1`~`https://media.blooket.com/image/upload/v1761201981/vwny8ghpqfdvt7aehkp1.png,i6ctwfygrxmg0zbpbabz`~`https://media.blooket.com/image/upload/v1761201981/i6ctwfygrxmg0zbpbabz.png,45,1,blooket:68f84a1540ca0ac2393b4936:q16,
